name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h,cmc_rank,slug,url
Centrifuge,CFG,0.209517,-0.34328299,-1.49211375,-11.21931904,120923745.71048918,8743085.69797992,160,centrifuge,https://coinmarketcap.com/currencies/centrifuge/
Stargate Finance,STG,0.179982,-0.63170338,-0.43863354,-29.83445579,118959578.10438445,15486262.02327619,161,stargate-finance,https://coinmarketcap.com/currencies/stargate-finance/
Vision,VSN,0.032195,-0.14829642,-0.99703292,-5.8107756,118667595.97690938,3094224.60954787,162,vision-token,https://coinmarketcap.com/currencies/vision-token/
AWE,AWE,0.060759,-0.1767821,-2.50426173,7.14298563,118019462.15689579,8748913.71308591,163,awe-network,https://coinmarketcap.com/currencies/awe-network/
Gala,GALA,0.002405,0.21490482,-0.64686679,-9.96410439,116364470.69333532,12987602.05477372,164,gala,https://coinmarketcap.com/currencies/gala/
Re,RE,0.727684,0.63502974,-10.87376726,79.84697459,116138408.67755912,140206942.15564626,165,re-protocol,https://coinmarketcap.com/currencies/re-protocol/
Convex Finance,CVX,1.177539,-0.05249364,2.48530203,-14.87751851,115833188.09309678,4425665.97691967,166,convex-finance,https://coinmarketcap.com/currencies/convex-finance/
Story,IP,0.319175,0.62287167,3.82022814,3.69975483,113664512.10173026,40539379.92965385,167,story-protocol,https://coinmarketcap.com/currencies/story-protocol/
SafePal,SFP,0.221005,0.21221266,-0.4290203,-12.12184081,110502474.3907877,2265342.25508067,168,safepal,https://coinmarketcap.com/currencies/safepal/
Grass,GRASS,0.447358,-0.41165357,8.32990495,-5.23303084,109112985.00402746,26436016.46262859,169,grass,https://coinmarketcap.com/currencies/grass/
ZKsync,ZK,0.010833,-1.49510783,-0.17664974,-4.15507965,108155675.38726911,8999071.18839525,170,zksync,https://coinmarketcap.com/currencies/zksync/
WEMIX,WEMIX,0.231485,-0.21235649,-0.76231299,-2.71172017,107010175.14649653,782851.23069492,171,wemix,https://coinmarketcap.com/currencies/wemix/
KAITO,KAITO,0.43968,0.19434127,-1.49615617,-8.66009697,106133889.27893166,8070174.4882904,172,kaito,https://coinmarketcap.com/currencies/kaito/
AB,AB,0.001073,-0.03410042,0.37981795,1.75085029,106058229.2322034,1269079.88654451,173,newton,https://coinmarketcap.com/currencies/newton/
eCash,XEC,5e-06,0.20428091,0.64919666,-6.87165806,104755020.81283492,2908045.44801359,174,ecash,https://coinmarketcap.com/currencies/ecash/
